,profit,fees,balance,position,streak
598935,0.0,0.0,1000.0,0.0,1.0
598936,0.0,0.0,1000.0,0,1.0
598937,0.0,0.0,1000.0,0,1.0
598938,0.0,0.0,1000.0,0,1.0
598939,0.0,0.25,999.75,1,1.0
598940,-12.5,0.25,987.0,0,1.0
598941,0.0,0.0,987.0,0,1.0
598942,0.0,0.25,986.75,1,1.0
598943,0.0,0.0,986.75,1,1.0
598944,0.0,0.0,986.75,1,1.0
598945,0.0,0.0,986.75,1,1.0
598946,-50.0,0.25,936.5,0,1.0
598947,0.0,0.25,936.25,2,1.0
598948,12.5,0.25,948.5,1,1.0
598949,0.0,0.25,948.25,2,1.0
598950,0.0,0.0,948.25,2,1.0
598951,0.0,0.0,948.25,2,1.0
598952,12.5,0.25,960.5,1,1.0
598953,0.0,0.25,960.25,2,1.0
598954,0.0,0.0,960.25,2,1.0
598955,0.0,0.25,960.0,0,1.0
598956,0.0,0.25,959.75,1,1.0
598957,0.0,0.0,959.75,1,1.0
598958,0.0,0.25,959.5,0,1.0
598959,0.0,0.25,959.25,1,1.0
598960,0.0,0.25,959.0,2,1.0
598961,0.0,0.0,959.0,2,1.0
598962,0.0,0.0,959.0,2,1.0
598963,0.0,0.0,959.0,2,1.0
598964,0.0,0.25,958.75,1,1.0
598965,0.0,0.0,958.75,1,1.0
598966,-25.0,0.25,933.5,2,1.0
598967,0.0,0.0,933.5,2,1.0
598968,0.0,0.0,933.5,2,1.0
598969,-12.5,0.25,920.75,0,1.0
598970,0.0,0.25,920.5,1,1.0
598971,-12.5,0.25,907.75,0,1.0
598972,0.0,0.25,907.5,1,1.0
598973,0.0,0.25,907.25,2,1.0
598974,0.0,0.0,907.25,2,1.0
598975,-12.5,0.25,894.5,1,1.0
598976,0.0,0.0,894.5,1,1.0
598977,0.0,0.0,894.5,1,1.0
598978,0.0,0.0,894.5,1,1.0
598979,0.0,0.0,894.5,1,1.0
598980,0.0,0.0,894.5,1,1.0
598981,50.0,0.25,944.25,2,1.0
598982,12.5,0.25,956.5,1,1.0
598983,0.0,0.0,956.5,1,1.0
598984,0.0,0.0,956.5,1,1.0
598985,12.5,0.25,968.75,2,1.0
598986,0.0,0.25,968.5,1,1.0
598987,0.0,0.0,968.5,1,1.0
598988,-12.5,0.25,955.75,2,1.0
598989,0.0,0.0,955.75,2,1.0
598990,0.0,0.0,955.75,2,1.0
598991,12.5,0.25,968.0,0,1.0
598992,0.0,0.25,967.75,2,1.0
598993,0.0,0.25,967.5,0,1.0
598994,0.0,0.25,967.25,1,1.0
598995,0.0,0.0,967.25,1,1.0
598996,0.0,0.0,967.25,1,1.0
598997,0.0,0.0,967.25,1,1.0
598998,0.0,0.0,967.25,1,1.0
598999,0.0,0.0,967.25,1,1.0
599000,0.0,0.0,967.25,1,1.0
599001,25.0,0.25,992.0,2,1.0
599002,-12.5,0.25,979.25,0,1.0
599003,0.0,0.25,979.0,1,1.0
599004,0.0,0.0,979.0,1,1.0
599005,0.0,0.0,979.0,1,1.0
599006,0.0,0.0,979.0,1,1.0
599007,-75.0,0.25,903.75,2,1.0
599008,0.0,0.0,903.75,2,1.0
599009,0.0,0.0,903.75,2,1.0
599010,0.0,0.0,903.75,2,1.0
599011,0.0,0.0,903.75,2,1.0
599012,0.0,0.0,903.75,2,1.0
599013,0.0,0.0,903.75,2,1.0
599014,0.0,0.0,903.75,2,1.0
599015,-12.5,0.25,891.0,1,1.0
599016,0.0,0.0,891.0,1,1.0
599017,0.0,0.0,891.0,1,1.0
599018,0.0,0.0,891.0,1,1.0
599019,0.0,0.0,891.0,1,1.0
599020,-50.0,0.25,840.75,2,1.0
599021,0.0,0.25,840.5,0,1.0
599022,0.0,0.25,840.25,2,1.0
