,profit,fees,balance,position,streak
598935,0.0,0.0,1000.0,0.0,1.0
598936,0.0,0.25,999.75,1,1.0
598937,0.0,0.0,999.75,1,1.0
598938,0.0,0.0,999.75,1,1.0
598939,12.5,0.25,1012.0,2,1.0
598940,12.5,0.25,1024.25,1,1.0
598941,0.0,0.0,1024.25,1,1.0
598942,0.0,0.0,1024.25,1,1.0
598943,0.0,0.0,1024.25,1,1.0
598944,0.0,0.25,1024.0,2,1.0
598945,0.0,0.25,1023.75,1,1.0
598946,0.0,0.0,1023.75,1,1.0
598947,0.0,0.0,1023.75,1,1.0
598948,-37.5,0.25,986.0,0,1.0
598949,0.0,0.25,985.75,1,1.0
598950,-12.5,0.25,973.0,2,1.0
598951,0.0,0.0,973.0,2,1.0
598952,0.0,0.0,973.0,2,1.0
598953,0.0,0.0,973.0,2,1.0
598954,0.0,0.0,973.0,2,1.0
598955,0.0,0.0,973.0,2,1.0
598956,0.0,0.0,973.0,2,1.0
598957,0.0,0.0,973.0,2,1.0
598958,0.0,0.25,972.75,1,1.0
598959,-12.5,0.25,960.0,2,1.0
598960,0.0,0.0,960.0,2,1.0
598961,0.0,0.0,960.0,2,1.0
598962,0.0,0.0,960.0,2,1.0
598963,0.0,0.0,960.0,2,1.0
598964,0.0,0.0,960.0,2,1.0
598965,0.0,0.0,960.0,2,1.0
598966,25.0,0.25,984.75,1,1.0
598967,0.0,0.25,984.5,2,1.0
598968,0.0,0.0,984.5,2,1.0
598969,-12.5,0.25,971.75,0,1.0
598970,0.0,0.0,971.75,0,1.0
598971,0.0,0.0,971.75,0,1.0
598972,0.0,0.0,971.75,0,1.0
598973,0.0,0.0,971.75,0,1.0
598974,0.0,0.0,971.75,0,1.0
598975,0.0,0.0,971.75,0,1.0
598976,0.0,0.0,971.75,0,1.0
598977,0.0,0.0,971.75,0,1.0
598978,0.0,0.0,971.75,0,1.0
598979,0.0,0.0,971.75,0,1.0
598980,0.0,0.0,971.75,0,1.0
598981,0.0,0.0,971.75,0,1.0
598982,0.0,0.0,971.75,0,1.0
598983,0.0,0.25,971.5,1,1.0
598984,0.0,0.0,971.5,1,1.0
598985,0.0,0.25,971.25,2,1.0
598986,0.0,0.0,971.25,2,1.0
598987,0.0,0.0,971.25,2,1.0
598988,0.0,0.0,971.25,2,1.0
598989,0.0,0.0,971.25,2,1.0
598990,0.0,0.0,971.25,2,1.0
598991,0.0,0.0,971.25,2,1.0
598992,0.0,0.0,971.25,2,1.0
598993,0.0,0.0,971.25,2,1.0
598994,0.0,0.0,971.25,2,1.0
598995,0.0,0.0,971.25,2,1.0
598996,0.0,0.0,971.25,2,1.0
598997,0.0,0.0,971.25,2,1.0
598998,0.0,0.0,971.25,2,1.0
598999,0.0,0.0,971.25,2,1.0
599000,0.0,0.0,971.25,2,1.0
599001,-25.0,0.25,946.0,1,1.0
599002,12.5,0.25,958.25,2,1.0
599003,0.0,0.25,958.0,1,1.0
599004,0.0,0.25,957.75,2,1.0
599005,25.0,0.25,982.5,1,1.0
599006,0.0,0.25,982.25,2,1.0
599007,50.0,0.25,1032.0,1,1.0
599008,0.0,0.25,1031.75,2,1.0
599009,-12.5,0.25,1019.0,1,1.0
599010,-37.5,0.25,981.25,2,1.0
599011,0.0,0.25,981.0,1,1.0
599012,0.0,0.0,981.0,1,1.0
599013,37.5,0.25,1018.25,2,1.0
599014,12.5,0.25,1030.5,1,1.0
599015,12.5,0.25,1042.75,2,1.0
599016,-12.5,0.25,1030.0,1,1.0
599017,-12.5,0.25,1017.25,2,1.0
599018,0.0,0.25,1017.0,1,1.0
599019,0.0,0.0,1017.0,1,1.0
599020,-50.0,0.25,966.75,2,1.0
599021,0.0,0.0,966.75,2,1.0
599022,0.0,0.0,966.75,2,1.0
599023,0.0,0.0,966.75,2,1.0
599024,0.0,0.0,966.75,2,1.0
599025,0.0,0.0,966.75,2,1.0
599026,0.0,0.0,966.75,2,1.0
599027,0.0,0.0,966.75,2,1.0
599028,0.0,0.0,966.75,2,1.0
599029,0.0,0.0,966.75,2,1.0
599030,0.0,0.0,966.75,2,1.0
599031,12.5,0.25,979.0,1,1.0
599032,12.5,0.25,991.25,2,1.0
599033,0.0,0.0,991.25,2,1.0
599034,0.0,0.0,991.25,2,1.0
599035,0.0,0.0,991.25,2,1.0
599036,25.0,0.25,1016.0,0,1.0
599037,0.0,0.0,1016.0,0,1.0
599038,0.0,0.0,1016.0,0,1.0
599039,0.0,0.0,1016.0,0,1.0
599040,0.0,0.25,1015.75,1,1.0
599041,0.0,0.0,1015.75,1,1.0
599042,25.0,0.25,1040.5,2,1.0
599043,0.0,0.0,1040.5,2,1.0
599044,0.0,0.0,1040.5,2,1.0
599045,0.0,0.0,1040.5,2,1.0
599046,0.0,0.0,1040.5,2,1.0
599047,25.0,0.25,1065.25,0,1.0
599048,0.0,0.0,1065.25,0,1.0
599049,0.0,0.0,1065.25,0,1.0
599050,0.0,0.0,1065.25,0,1.0
599051,0.0,0.0,1065.25,0,1.0
599052,0.0,0.0,1065.25,0,1.0
599053,0.0,0.0,1065.25,0,1.0
599054,0.0,0.0,1065.25,0,1.0
599055,0.0,0.0,1065.25,0,1.0
599056,0.0,0.0,1065.25,0,1.0
599057,0.0,0.0,1065.25,0,1.0
599058,0.0,0.0,1065.25,0,1.0
599059,0.0,0.0,1065.25,0,1.0
599060,0.0,0.0,1065.25,0,1.0
599061,0.0,0.0,1065.25,0,1.0
599062,0.0,0.0,1065.25,0,1.0
599063,0.0,0.0,1065.25,0,1.0
599064,0.0,0.25,1065.0,1,1.0
599065,0.0,0.25,1064.75,2,1.0
599066,0.0,0.0,1064.75,2,1.0
599067,0.0,0.0,1064.75,2,1.0
599068,0.0,0.0,1064.75,2,1.0
599069,0.0,0.0,1064.75,2,1.0
599070,0.0,0.0,1064.75,2,1.0
599071,0.0,0.0,1064.75,2,1.0
599072,0.0,0.0,1064.75,2,1.0
599073,0.0,0.0,1064.75,2,1.0
599074,0.0,0.0,1064.75,2,1.0
599075,0.0,0.0,1064.75,2,1.0
599076,0.0,0.0,1064.75,2,1.0
599077,0.0,0.0,1064.75,2,1.0
599078,0.0,0.0,1064.75,2,1.0
599079,0.0,0.0,1064.75,2,1.0
599080,0.0,0.0,1064.75,2,1.0
599081,0.0,0.0,1064.75,2,1.0
599082,0.0,0.0,1064.75,2,1.0
599083,0.0,0.0,1064.75,2,1.0
599084,0.0,0.0,1064.75,2,1.0
599085,0.0,0.0,1064.75,2,1.0
599086,-12.5,0.25,1052.0,0,1.0
599087,0.0,0.25,1051.75,2,1.0
599088,0.0,0.0,1051.75,2,1.0
599089,0.0,0.0,1051.75,2,1.0
599090,0.0,0.0,1051.75,2,1.0
599091,0.0,0.25,1051.5,0,1.0
599092,0.0,0.0,1051.5,0,1.0
599093,0.0,0.25,1051.25,1,1.0
599094,0.0,0.25,1051.0,0,1.0
599095,0.0,0.0,1051.0,0,1.0
599096,0.0,0.0,1051.0,0,1.0
599097,0.0,0.0,1051.0,0,1.0
599098,0.0,0.0,1051.0,0,1.0
599099,0.0,0.25,1050.75,2,1.0
599100,25.0,0.25,1075.5,0,1.0
599101,0.0,0.0,1075.5,0,1.0
599102,0.0,0.0,1075.5,0,1.0
599103,0.0,0.0,1075.5,0,1.0
599104,0.0,0.0,1075.5,0,1.0
599105,0.0,0.0,1075.5,0,1.0
599106,0.0,0.0,1075.5,0,1.0
599107,0.0,0.0,1075.5,0,1.0
599108,0.0,0.0,1075.5,0,1.0
599109,0.0,0.0,1075.5,0,1.0
599110,0.0,0.0,1075.5,0,1.0
599111,0.0,0.0,1075.5,0,1.0
599112,0.0,0.0,1075.5,0,1.0
599113,0.0,0.0,1075.5,0,1.0
599114,0.0,0.0,1075.5,0,1.0
599115,0.0,0.0,1075.5,0,1.0
599116,0.0,0.0,1075.5,0,1.0
599117,0.0,0.0,1075.5,0,1.0
599118,0.0,0.0,1075.5,0,1.0
599119,0.0,0.0,1075.5,0,1.0
599120,0.0,0.0,1075.5,0,1.0
599121,0.0,0.0,1075.5,0,1.0
599122,0.0,0.0,1075.5,0,1.0
599123,0.0,0.0,1075.5,0,1.0
599124,0.0,0.0,1075.5,0,1.0
599125,0.0,0.0,1075.5,0,1.0
599126,0.0,0.0,1075.5,0,1.0
599127,0.0,0.0,1075.5,0,1.0
599128,0.0,0.0,1075.5,0,1.0
599129,0.0,0.0,1075.5,0,1.0
599130,0.0,0.25,1075.25,1,1.0
599131,0.0,0.0,1075.25,1,1.0
599132,0.0,0.0,1075.25,1,1.0
599133,0.0,0.0,1075.25,1,1.0
599134,0.0,0.25,1075.0,2,1.0
599135,0.0,0.25,1074.75,1,1.0
599136,0.0,0.25,1074.5,2,1.0
599137,0.0,0.25,1074.25,1,1.0
599138,-12.5,0.25,1061.5,2,1.0
599139,0.0,0.25,1061.25,0,1.0
599140,0.0,0.0,1061.25,0,1.0
599141,0.0,0.0,1061.25,0,1.0
599142,0.0,0.0,1061.25,0,1.0
599143,0.0,0.0,1061.25,0,1.0
599144,0.0,0.0,1061.25,0,1.0
599145,0.0,0.0,1061.25,0,1.0
599146,0.0,0.0,1061.25,0,1.0
599147,0.0,0.25,1061.0,1,1.0
599148,0.0,0.25,1060.75,2,1.0
599149,0.0,0.0,1060.75,2,1.0
599150,-12.5,0.25,1048.0,0,1.0
599151,0.0,0.25,1047.75,1,1.0
599152,12.5,0.25,1060.0,2,1.0
599153,0.0,0.0,1060.0,2,1.0
599154,0.0,0.0,1060.0,2,1.0
599155,0.0,0.0,1060.0,2,1.0
599156,0.0,0.0,1060.0,2,1.0
599157,0.0,0.0,1060.0,2,1.0
599158,12.5,0.25,1072.25,0,1.0
599159,0.0,0.0,1072.25,0,1.0
599160,0.0,0.25,1072.0,1,1.0
599161,0.0,0.0,1072.0,1,1.0
599162,25.0,0.25,1096.75,2,1.0
599163,0.0,0.0,1096.75,2,1.0
599164,0.0,0.0,1096.75,2,1.0
599165,0.0,0.0,1096.75,2,1.0
