progress,open,high,low,close,volume
0.0757002271006813,0.0,0.0,0.0,0.0,5033
0.1514004542013626,5.0,0.5,9.25,4.75,2755
0.22710068130204392,10.0,1.25,15.25,3.5,1634
0.3028009084027252,8.5,1.75,16.0,4.25,923
0.3785011355034065,9.5,-1.25,12.5,0.25,1275
0.45420136260408783,5.25,-4.75,8.75,-3.5,672
0.5299015897047692,1.75,-7.5,9.5,-2.75,748
0.6056018168054504,2.5,-6.5,7.75,-5.0,896
0.6813020439061317,0.0,-10.75,1.75,-11.25,1120
0.757002271006813,-6.0,-17.0,-5.75,-15.5,2142
0.8327024981074944,-10.5,-15.5,-3.0,-10.25,857
0.9084027252081757,-5.0,-13.25,3.0,-8.0,448
0.9841029523088569,-3.25,-13.75,0.75,-11.5,591
1.0598031794095384,-6.5,-15.0,-0.5,-13.25,491
1.1355034065102196,-8.25,-14.75,-1.0,-11.5,549
1.2112036336109009,-6.25,-13.0,0.75,-8.25,581
1.2869038607115821,-3.5,-10.5,4.5,-6.0,448
1.3626040878122634,-1.0,-9.75,6.5,-4.25,321
1.4383043149129449,0.75,-10.25,4.5,-8.25,390
1.514004542013626,-3.25,-10.75,4.75,-5.0,291
1.5897047691143074,0.0,-10.5,5.5,-7.25,353
1.6654049962149888,-2.0,-12.25,3.25,-7.0,532
1.74110522331567,-1.75,-12.75,3.75,-7.0,516
1.8168054504163513,-1.75,-12.25,4.5,-7.75,344
1.8925056775170326,-2.75,-12.0,4.5,-7.5,341
1.9682059046177138,-2.5,-11.5,5.25,-6.0,110
2.043906131718395,-1.0,-8.5,7.0,-4.0,442
2.1196063588190768,1.25,-8.0,9.25,-2.5,256
2.195306585919758,2.75,-5.5,10.75,-1.25,483
2.2710068130204393,3.75,-5.75,10.5,-1.5,313
2.3467070401211205,3.75,-6.5,10.0,-2.25,305
2.4224072672218018,2.75,-7.25,10.0,-2.25,229
2.498107494322483,2.5,-8.0,7.75,-3.75,316
2.5738077214231643,1.5,-7.0,9.5,-1.0,206
2.6495079485238455,3.75,-5.25,11.75,-0.5,301
2.7252081756245268,4.5,-4.75,12.25,-0.5,352
2.8009084027252085,4.5,-5.75,11.25,-0.75,182
2.8766086298258897,4.5,-4.25,12.5,1.75,319
2.952308856926571,6.5,-4.25,12.5,0.25,167
3.028009084027252,5.5,-5.0,13.25,0.5,75
3.1037093111279335,5.75,-4.75,11.25,-0.75,276
3.1794095382286147,4.25,-5.75,11.75,-1.25,211
3.255109765329296,4.0,-7.0,8.25,-4.75,640
3.3308099924299777,0.5,-7.5,7.75,-1.75,536
3.406510219530659,3.0,-7.75,10.25,-2.0,147
3.48221044663134,2.75,-7.75,9.75,-1.75,344
3.5579106737320214,3.25,-4.25,11.0,0.75,361
3.6336109008327027,5.75,-5.0,13.0,0.75,92
3.709311127933384,5.75,-3.0,13.75,2.5,390
3.785011355034065,7.5,-0.5,14.75,4.5,418
3.8607115821347464,9.5,0.5,16.25,6.0,434
3.9364118092354277,10.75,0.75,17.75,5.25,263
4.012112036336109,10.25,-0.25,17.75,5.25,87
4.08781226343679,10.25,-0.75,17.0,4.5,114
4.163512490537472,9.5,-0.5,17.5,5.0,139
4.2392127176381535,9.75,-1.0,17.25,4.75,78
4.314912944738834,9.75,-0.25,17.75,5.75,71
4.390613171839516,10.75,3.5,18.5,7.75,792
4.466313398940197,13.0,2.75,20.0,7.25,261
4.5420136260408785,12.5,2.25,20.0,7.0,125
4.617713853141559,12.25,2.5,19.0,7.0,241
4.693414080242241,11.75,1.0,18.25,6.0,153
4.769114307342922,11.0,0.25,17.75,5.75,242
4.8448145344436035,10.75,-0.25,15.75,3.25,434
4.920514761544285,8.0,-2.75,14.0,1.5,295
4.996214988644966,6.5,-2.75,14.25,2.25,200
5.071915215745648,7.5,-2.5,15.25,3.25,102
5.1476154428463285,8.0,-2.5,14.0,1.25,159
5.22331566994701,6.25,-2.75,13.5,1.0,246
5.299015897047691,5.75,-5.0,12.25,0.0,244
5.374716124148373,5.0,-5.75,9.75,-0.75,528
5.4504163512490535,4.25,-5.25,12.0,0.25,329
5.526116578349735,5.0,-2.75,13.0,1.5,473
5.601816805450417,6.25,-2.25,14.25,3.5,190
5.677517032551098,8.5,-2.5,15.5,3.25,90
5.753217259651779,8.25,-1.5,16.25,3.5,143
5.82891748675246,8.0,-1.5,15.75,3.25,182
5.904617713853142,8.25,-2.75,11.0,-1.25,352
5.980317940953823,4.0,-6.0,9.25,-3.75,373
6.056018168054504,1.5,-8.75,6.5,-5.25,562
6.131718395155186,-0.25,-9.75,5.75,-4.5,660
6.207418622255867,0.75,-7.5,8.75,-2.5,388
6.283118849356549,2.25,-8.5,8.25,-4.25,333
6.358819076457229,0.75,-9.75,8.0,-4.0,194
6.434519303557911,0.75,-8.75,8.5,-4.25,249
6.510219530658592,0.5,-10.0,7.0,-6.0,315
6.585919757759274,-1.0,-11.75,3.5,-8.75,1411
6.661619984859955,-3.75,-13.25,3.75,-7.25,364
6.737320211960636,-2.25,-11.0,5.75,-6.5,253
6.813020439061318,-1.75,-11.25,5.75,-6.0,243
6.888720666161999,-1.0,-9.0,7.0,-3.25,370
6.96442089326268,1.5,-7.5,9.0,-2.25,276
7.040121120363361,2.75,-6.25,10.0,-2.5,409
7.115821347464043,2.5,-7.5,9.25,-2.0,235
7.191521574564724,2.75,-6.75,10.25,-0.75,186
7.267221801665405,4.0,-7.0,10.25,-1.5,174
7.342922028766087,3.25,-5.75,11.25,-0.25,419
7.418622255866768,5.0,-6.0,12.25,-0.25,56
7.4943224829674495,4.75,-3.5,12.75,2.5,230
7.57002271006813,7.25,-3.5,13.25,2.0,206
7.645722937168812,7.0,-2.5,14.5,2.5,225
7.721423164269493,7.5,-3.0,15.0,2.0,88
7.7971233913701745,7.25,-3.5,12.25,-0.25,240
7.872823618470855,4.5,-5.75,10.75,-1.5,315
7.948523845571537,3.5,-5.5,11.5,0.0,167
8.024224072672219,5.0,-3.25,12.75,1.75,334
8.0999242997729,6.75,-3.0,13.5,1.0,267
8.17562452687358,6.0,-4.0,12.5,1.25,276
8.251324753974263,6.5,-4.5,6.75,-4.5,782
8.327024981074944,0.5,-10.25,5.0,-7.0,1467
8.402725208175625,-1.75,-7.75,5.75,-4.5,733
8.478425435276307,0.25,-9.0,5.5,-6.5,810
8.554125662376988,-1.5,-12.25,5.0,-6.25,300
