progress,open,high,low,close,volume
0.0757002271006813,0.0,0.0,0.0,0.0,1472
0.1514004542013626,0.75,0.25,0.5,0.5,345
0.22710068130204392,1.0,0.25,1.0,0.75,101
0.3028009084027252,1.5,0.25,1.0,0.25,239
0.3785011355034065,1.0,-0.25,0.75,0.25,283
0.45420136260408783,0.75,-0.25,0.5,0.0,139
0.5299015897047692,0.75,-0.5,0.5,-0.25,369
0.6056018168054504,0.5,-0.5,0.5,-0.25,78
0.6813020439061317,0.75,-0.25,0.5,0.0,416
0.757002271006813,0.5,-0.5,0.25,-0.25,462
0.8327024981074944,0.5,-0.75,0.0,-0.5,192
0.9084027252081757,0.5,-0.75,0.25,-0.25,128
0.9841029523088569,0.5,-0.75,0.25,-0.25,53
1.0598031794095384,0.5,-0.75,0.25,-0.5,75
1.1355034065102196,0.5,-0.75,0.0,-0.75,202
1.2112036336109009,0.25,-0.5,0.0,-0.25,199
1.2869038607115821,0.75,-0.5,0.5,-0.25,54
1.3626040878122634,0.75,-0.25,0.75,0.25,216
1.4383043149129449,1.25,0.0,1.0,0.25,13
1.514004542013626,1.25,0.0,0.75,0.0,73
1.5897047691143074,0.75,-0.5,0.25,-0.5,261
1.6654049962149888,0.25,-0.75,0.0,-0.75,335
1.74110522331567,0.25,-1.0,0.0,-0.75,321
1.8168054504163513,0.25,-1.0,-0.25,-1.0,327
1.8925056775170326,-0.25,-1.25,-0.25,-0.75,208
1.9682059046177138,0.25,-1.0,0.0,-0.75,120
2.043906131718395,0.0,-1.0,0.0,-0.5,51
2.1196063588190768,0.25,-1.0,0.25,-0.5,9
2.195306585919758,0.25,-1.0,0.0,-0.75,66
2.2710068130204393,0.0,-1.25,0.0,-0.75,2
2.3467070401211205,0.25,-0.75,0.25,-0.25,223
2.4224072672218018,0.5,-0.5,0.5,0.0,17
2.498107494322483,0.75,-0.5,0.75,0.0,132
2.5738077214231643,0.75,-0.5,0.5,-0.25,68
2.6495079485238455,0.75,-0.5,0.5,0.0,21
2.7252081756245268,0.75,-0.25,0.75,0.25,40
2.8009084027252085,1.0,-0.25,1.0,0.25,32
2.8766086298258897,1.0,0.0,0.75,0.5,107
2.952308856926571,1.25,0.0,0.75,0.0,164
3.028009084027252,0.75,-0.25,0.75,0.0,77
3.1037093111279335,1.0,-0.25,0.75,0.0,42
3.1794095382286147,1.0,-0.25,1.0,0.25,51
3.255109765329296,1.25,0.0,1.0,0.5,78
3.3308099924299777,1.25,0.25,1.25,0.75,46
3.406510219530659,1.5,0.25,1.0,0.5,171
3.48221044663134,1.25,0.0,1.0,0.5,68
3.5579106737320214,1.25,0.0,1.0,0.5,16
3.6336109008327027,1.25,0.0,1.25,0.5,66
3.709311127933384,1.25,0.25,1.25,0.5,96
3.785011355034065,1.5,0.25,1.25,0.75,20
3.8607115821347464,1.25,0.5,1.25,1.0,99
3.9364118092354277,1.75,0.5,1.5,1.0,26
4.012112036336109,1.75,0.5,1.5,1.0,162
4.08781226343679,1.75,0.75,1.75,1.25,44
4.163512490537472,1.75,0.5,1.5,0.75,51
4.2392127176381535,1.75,0.5,1.75,1.0,13
4.314912944738834,1.75,0.5,1.5,0.75,13
4.390613171839516,1.75,0.5,1.5,0.75,9
4.466313398940197,1.75,0.5,1.5,1.0,10
4.5420136260408785,1.5,0.5,1.5,0.75,32
4.617713853141559,1.5,0.5,1.5,1.0,255
4.693414080242241,1.5,0.25,1.0,0.25,226
4.769114307342922,1.0,0.0,0.5,0.0,260
4.8448145344436035,0.5,-0.25,0.5,0.25,230
4.920514761544285,1.0,0.0,1.0,0.25,257
4.996214988644966,1.25,0.0,1.0,0.25,146
5.071915215745648,1.0,0.0,0.75,0.25,76
5.1476154428463285,0.75,0.0,0.75,0.5,126
5.22331566994701,1.25,0.0,0.75,0.0,169
5.299015897047691,0.75,-0.5,0.5,-0.25,53
5.374716124148373,0.5,-0.25,0.25,0.25,297
5.4504163512490535,1.0,-0.25,0.75,0.25,203
5.526116578349735,1.0,0.0,1.0,0.5,9
5.601816805450417,1.0,0.0,1.0,0.25,17
5.677517032551098,1.0,0.25,1.0,0.75,188
5.753217259651779,1.5,0.25,1.25,0.75,27
5.82891748675246,1.25,0.0,1.25,0.5,215
5.904617713853142,1.25,0.0,0.75,0.0,168
5.980317940953823,1.0,0.0,0.75,0.25,175
6.056018168054504,1.0,0.0,0.75,0.0,153
6.131718395155186,1.0,0.25,1.0,0.75,140
6.207418622255867,1.25,0.25,1.25,0.5,16
6.283118849356549,1.5,0.25,1.0,0.25,299
6.358819076457229,1.25,0.0,1.0,0.5,5
6.434519303557911,1.0,0.25,1.0,0.75,109
6.510219530658592,1.5,0.5,1.5,1.0,256
6.585919757759274,1.75,0.5,1.25,1.0,202
6.661619984859955,1.75,0.75,1.75,1.25,32
6.737320211960636,2.0,0.75,1.5,0.75,128
6.813020439061318,1.5,0.25,1.5,0.75,15
6.888720666161999,1.75,0.5,1.5,1.0,11
6.96442089326268,1.75,0.75,1.75,1.25,80
7.040121120363361,2.0,0.75,1.75,1.25,74
7.115821347464043,1.75,0.75,1.5,0.75,246
7.191521574564724,1.5,0.5,1.5,1.0,17
7.267221801665405,1.5,1.0,1.5,1.5,188
7.342922028766087,2.25,1.0,2.0,1.5,202
7.418622255866768,2.25,1.0,1.75,1.0,94
7.4943224829674495,1.75,0.75,1.75,1.25,15
7.57002271006813,2.0,0.75,2.0,1.25,7
7.645722937168812,2.0,0.75,1.5,1.0,158
7.721423164269493,1.75,0.75,1.75,1.0,74
